contestant_id,queen_id,season_id,placement,entrance_order,home_city,wins,highs,lows,bottoms,eliminated_episode,miss_congeniality,drag_name_used
US01-Q0001,Q0001,US01,1,9,"Minneapolis, MN",2,1,0,1,,No,-
US01-Q0002,Q0002,US01,2,2,"Denver, CO",1,3,1,0,,Yes,-
US01-Q0003,Q0003,US01,3,3,"Ft. Lauderdale, FL",1,1,1,3,,No,-
US01-Q0004,Q0004,US01,4,1,"Las Vegas, NV",0,1,1,2,,No,-
US01-Q0005,Q0005,US01,5,4,"Los Angeles, CA",2,2,0,1,,No,-
US01-Q0006,Q0006,US01,6,8,"Chicago, IL",0,0,1,1,,No,-
US01-Q0007,Q0007,US01,7,6,"Cleveland, OH",0,0,0,3,,No,-
US01-Q0008,Q0008,US01,8,7,"Long Beach, CA",0,0,0,1,,No,-
US01-Q0009,Q0009,US01,9,5,"Raleigh, NC",0,0,0,1,,No,-
US02-Q0010,Q0010,US02,1,12,"Orlando, FL",3,2,1,0,,No,-
US02-Q0011,Q0011,US02,2,3,"Riverside, CA",2,3,0,2,,No,-
US02-Q0012,Q0012,US02,3,4,"Boston, MA",0,2,1,4,,No,-
US02-Q0013,Q0013,US02,4,10,"Falls Church, VA",1,1,1,2,,No,-
US02-Q0014,Q0014,US02,5,11,"Rochester, NY",0,4,1,1,,Yes,-
US02-Q0015,Q0015,US02,6,8,"San Juan, PR",1,2,0,1,,No,-
US02-Q0016,Q0016,US02,7,5,"New York, NY",1,0,0,3,,No,-
US02-Q0017,Q0017,US02,8,6,"Mira Loma, CA",1,0,0,2,,No,-
US02-Q0018,Q0018,US02,9,9,"Atlanta, GA",0,0,1,1,,No,-
US02-Q0019,Q0019,US02,10,7,"Bedford, TX",0,0,1,1,,No,-
US02-Q0020,Q0020,US02,11,1,"Atlanta, GA",0,0,0,1,,No,-
US02-Q0021,Q0021,US02,12,2,"Studio City, CA",0,0,0,1,,No,-
US03-Q0022,Q0022,US03,1,12,"Los Angeles, CA",3,4,1,1,,No,-
US03-Q0023,Q0023,US03,2,4,"New York, NY",3,4,1,1,,No,-
US03-Q0024,Q0024,US03,3,9,"St. Petersburg, FL",3,2,2,4,,No,-
