lip_sync_id,episode_id,song_id,queen_a_id,queen_b_id,winner_id,loser_id,result_type,was_save,notes
L0205,US15E02,S0159,Q0195,Q0197,Q0195,Q0197,NORMAL,No,
L0206,US15E03,S0160,Q0195,Q0196,Q0195,Q0196,NORMAL,No,
L0207,US15E04,S0161,Q0190,Q0191,Q0190,Q0191,NORMAL,No,
L0208,US15E05,S0162,Q0195,Q0187,Q0187,Q0195,NORMAL,No,
L0209,US15E06,S0163,Q0192,Q0194,Q0192,Q0194,NORMAL,No,
L0210,US15E07,S0164,Q0193,Q0192,Q0192,Q0193,NORMAL,No,
L0211,US15E08,S0197,Q0186,Q0188,Q0188,Q0186,SURVIVAL,Yes,LaLaPaRuZa R1
L0212,US15E08,S0198,Q0189,Q0190,Q0189,Q0190,SURVIVAL,Yes,LaLaPaRuZa R1
L0213,US15E08,S0199,Q0184,Q0187,Q0187,Q0184,SURVIVAL,Yes,LaLaPaRuZa R1
L0214,US15E08,S0200,Q0192,Q0185,Q0185,Q0192,SURVIVAL,Yes,LaLaPaRuZa R1
L0215,US15E08,S0201,Q0183,Q0182,Q0182,Q0183,SURVIVAL,Yes,LaLaPaRuZa R1
L0216,US15E08,S0202,Q0186,Q0190,Q0186,Q0190,SURVIVAL,Yes,LaLaPaRuZa R2
L0217,US15E08,S0090,Q0183,Q0192,Q0183,Q0192,NORMAL,No,LaLaPaRuZa final - Jax eliminated
L0218,US15E08,S0017,Q0183,Q0184,Q0184,Q0183,SURVIVAL,Yes,LaLaPaRuZa 3-way (Anetra/Jax/Luxx) - Luxx won
L0219,US15E09,S0203,Q0187,Q0190,Q0187,Q0190,NORMAL,No,
L0220,US15E10,S0166,Q0186,Q0187,Q0187,Q0186,NORMAL,No,
L0221,US15E11,S0167,Q0183,Q0188,Q0183,Q0188,NORMAL,No,
L0222,US15E12,S0204,Q0189,Q0187,Q0189,Q0187,NORMAL,No,
L0223,US15E13,S0169,Q0189,Q0184,Q0184,Q0189,NORMAL,No,Loosey eliminated
L0224,US15E14,S0170,Q0183,Q0185,,,SHANTAY,Yes,double shantay - none eliminated
L0225,US15E16,S0022,Q0183,Q0182,Q0182,Q0183,CROWN,No,lip sync for the crown
L0292,US04E01,S0030,Q0046,Q0041,Q0041,Q0046,NORMAL,No,Alisa eliminated
L0293,US04E02,S0031,Q0045,Q0044,Q0044,Q0045,NORMAL,No,Lashauwn eliminated
L0294,US04E03,S0032,Q0039,Q0044,Q0039,Q0044,NORMAL,No,Princess eliminated
L0295,US04E04,S0033,Q0043,Q0042,Q0042,Q0043,NORMAL,No,Madame LaQueer eliminated
L0296,US04E05,S0034,Q0038,Q0042,Q0042,Q0038,NORMAL,No,Kenya eliminated (1st time)
L0297,US04E06,S0035,Q0041,Q0042,Q0041,Q0042,NORMAL,No,Milan eliminated
L0298,US04E07,S0212,Q0041,Q0040,Q0040,Q0041,NORMAL,No,Jiggly eliminated
L0299,US04E08,S0213,Q0036,Q0034,,,SHANTAY,Yes,Willam DQ'd post-LS; both bottom queens saved
L0300,US04E09,S0038,Q0039,Q0037,Q0037,Q0039,NORMAL,No,DiDa eliminated
L0301,US04E10,S0039,Q0038,Q0037,Q0037,Q0038,NORMAL,No,Kenya re-eliminated; 5th
L0302,US04E11,S0040,Q0035,Q0037,Q0035,Q0037,NORMAL,No,Latrice eliminated
L0303,US04E13,S0214,Q0034,Q0036,Q0034,,CROWN,No,finale 3-way (Chad/PhiPhi/Sharon); Sharon crowned
L0304,US01E01,S0208,Q0007,Q0009,Q0007,Q0009,NORMAL,No,Porkchop eliminated
L0305,US01E02,S0002,Q0007,Q0008,Q0007,Q0008,NORMAL,No,Tammie eliminated
L0306,US01E03,S0003,Q0007,Q0004,Q0004,Q0007,NORMAL,No,Akashia eliminated
L0307,US01E04,S0004,Q0006,Q0003,Q0003,Q0006,NORMAL,No,Jade eliminated
L0308,US01E05,S0005,Q0001,Q0005,Q0001,Q0005,NORMAL,No,Ongina eliminated
L0309,US01E06,S0144,Q0003,Q0004,Q0003,Q0004,NORMAL,No,Shannel eliminated
L0310,US01E08,S0007,Q0001,Q0002,Q0001,,CROWN,No,finale; BeBe crowned
L0311,US02E01,S0007,Q0016,Q0021,Q0016,Q0021,NORMAL,No,Shangela eliminated
L0312,US02E02,S0008,Q0020,Q0011,Q0011,Q0020,NORMAL,No,Nicole eliminated
L0313,US02E03,S0209,Q0019,Q0011,Q0011,Q0019,NORMAL,No,Mystique eliminated
L0314,US02E04,S0010,Q0017,Q0018,Q0017,Q0018,NORMAL,No,Sonique eliminated
L0315,US02E05,S0011,Q0017,Q0016,Q0016,Q0017,NORMAL,No,Morgan eliminated
L0316,US02E06,S0012,Q0012,Q0016,Q0012,Q0016,NORMAL,No,Sahara eliminated
L0317,US02E07,S0013,Q0015,Q0013,Q0013,Q0015,NORMAL,No,Jessica eliminated
L0318,US02E08,S0014,Q0012,Q0014,Q0012,Q0014,NORMAL,No,Pandora eliminated
L0319,US02E09,S0015,Q0012,Q0013,Q0012,Q0013,NORMAL,No,Tatianna eliminated
L0320,US02E11,S0210,Q0011,Q0010,Q0010,,CROWN,No,finale; Tyra crowned
L0321,US03E02,S0017,Q0021,Q0033,Q0021,Q0033,NORMAL,No,Venus eliminated
