season_id,narrative
US01,
US02,
US03,
US04,
US05,
US06,
US07,
US08,
US09,
US10,
US11,
US12,
US13,
US14,
US15,
US16,
US17,
US18,
AS05,
AS01,
AS02,
AS03,
AS04,
AS06,
AS07,
AS08,
AS09,
AS10,
AS11,
CA01,
CA02,
CA03,
CA04,
CA05,
CA06,
UK01,
UK02,
UK03,
UK04,
UK05,
UK06,
UK07,
CW01,
CW02,
GA01,
UW01,
UW02,
UW03,
DU01,"Drag Race Down Under Season 1 (Asia-Pacific region; Australia & New Zealand). Cash prize AUD $30,000. Won by Kita Mean."
DU02,"Drag Race Down Under Season 2 (Asia-Pacific region; Australia & New Zealand). Cash prize AUD $30,000. Won by Spankie Jackzon."
DU03,"Drag Race Down Under Season 3 (Asia-Pacific region; Australia & New Zealand). Cash prize AUD $30,000. Won by Isis Avis Loren."
DU04,"Drag Race Down Under Season 4 (Asia-Pacific region; Australia & New Zealand). New host Michelle Visage (RuPaul stepped down); returning DU winners Isis Avis Loren, Kita Mean & Spankie Jackzon judged/mentored. Cash prize AUD $50,000. Won by Lazy Susan."
ES01,"Drag Race España España Season 1 (Europe region; Spain). Host Supremme de Luxe. Cash prize EUR €30,000. Won by Carmen Farala. Miss Simpatía (congeniality): Pupi Poisson."
ES02,Drag Race España España Season 2 (Europe region; Spain). Host Supremme de Luxe. Cash prize not verified on source. Won by Sharonne. Miss Simpatía (congeniality): Samantha Ballentines.
ES03,"Drag Race España España Season 3 (Europe region; Spain). Host Supremme de Luxe. Cash prize EUR €40,000. Won by Pitita. Miss Simpatía (congeniality): Maria Edilia."
ES04,"Drag Race España España Season 4 (Europe region; Spain). Host Supremme de Luxe. Cash prize EUR €35,000. Won by Le Cocó. Miss Simpatía (congeniality): Dita Dubois."
ES05,"Drag Race España España Season 5 (Europe region; Spain). Host Supremme de Luxe. Cash prize EUR €55,000. Won by Satín Greco. Miss Simpatía (congeniality): Nori."
ESAS01,"Drag Race España: All Stars Season 1 (Europe region; Spain). Returning España queens compete for the Hall of Fame. Host Supremme de Luxe. Cash prize EUR €30,000. Won by Drag Sethlas. Miss Simpatía: Samantha Ballentines."
FR01,"Drag Race France France Season 1 (Europe region; France). Host Nicky Doll. Cash prize EUR €40,000. Won by Paloma. Miss Sympathie (congeniality): Elips."
FR02,"Drag Race France France Season 2 (Europe region; France). Host Nicky Doll. Cash prize EUR €40,000. Won by Keiona. Miss Sympathie (congeniality): Moon."
FR03,"Drag Race France France Season 3 (Europe region; France). Host Nicky Doll. Cash prize EUR €40,000. Won by Le Filip. Miss Sympathie (congeniality): Norma Bell."
FRAS01,"Drag Race France France All Stars Season 1 (Europe region; France). Host Nicky Doll. Cash prize EUR €40,000. Won by Mami Watta. Miss Sympathie (congeniality): Kam Hugh."
IT01,"Drag Race Italia Italia Season 1 (Europe region; Italy). Host Priscilla; judges Chiara Francini, Priscilla, Tommaso Zorzi. No fixed cash prize (product/brand prizes). Won by Elecktra Bionic. Miss Drag Simpatia/Congeniality: Luquisha Lubamba."
IT02,"Drag Race Italia Italia Season 2 (Europe region; Italy). Host Priscilla; judges Chiara Francini, Priscilla, Tommaso Zorzi. No fixed cash prize (product/brand prizes). Won by La Diamond. Miss Drag Simpatia/Congeniality: Nehellenia."
IT03,"Drag Race Italia Italia Season 3 (Europe region; Italy). Host Priscilla; judges Chiara Francini, Priscilla, Tommaso Zorzi. Cash prize EUR €20,000. Won by Lina Galore. Miss Drag Simpatia/Congeniality: Silvana Della Magliana."
NL01,"Drag Race Holland Holland Season 1 (Europe region; Netherlands). Host Fred van Leer; judges Fred van Leer, Nikkie Plessen. No fixed cash prize (product/brand prizes). Won by Envy Peru. Miss Congeniality: Ma'Ma Queen."
NL02,"Drag Race Holland Holland Season 2 (Europe region; Netherlands). Host Fred van Leer; judges Carlo Boszhard, Fred van Leer, Marieke Samallo, Raven van Dorst. Cash prize EUR €15,000. Won by Vanessa van Cartier. Miss Congeniality: Tabitha."
BE01,"Drag Race Holland Belgique Season 1 (Europe region; Netherlands). Host Rita Baga; judges Rita Baga, Lufy, Mustii. No single advertised cash purse for the winner (per-episode maxi prizes: experiential in S1, EUR €1,000 in S2). Won by Drag Couenne. Miss Congeniality: Valenciaga."
BE02,"Drag Race Holland Belgique Season 2 (Europe region; Netherlands). Host Rita Baga; judges Rita Baga, Mustii, Lio. No single advertised cash purse for the winner (per-episode maxi prizes: experiential in S1, EUR €1,000 in S2). Won by Alvilda. Miss Congeniality: Star."
DE01,"Drag Race Germany Germany Season 1 (Europe region; Germany). Host Barbie Breakout (co-host Gianni Jovanovic); judges Barbie Breakout, Dianne Brill, Gianni Jovanovic. No single advertised grand cash purse for the winner (per-episode mini prizes EUR €1,000; winner's total earnings ~EUR €101,000). Won by Pandora Nox."
